city,district,cold_price,object_age,flat_area,room_count,distance_to_centre
Hamburg,Bahrenfeld,885.6,0,33,1,1.764449733
Hamburg,Bahrenfeld,1083.51,110,57.31,2,1.590318064
Hamburg,Ottensen,1259,2,51.55,2,6.852889708
Hamburg,Eimsbüttel,1016,1,55,2,0.69118238
Hamburg,Bahrenfeld,1499,2,62.75,2,2.69160327
Hamburg,Stellingen,800,,50,2,2.093976687
Hamburg,Bahrenfeld,906,,67,3,1.70467706
Hamburg,Neustadt,950,,64,3,1.6676831
Hamburg,Neustadt,950,,46,2,0.223706491
Hamburg,Eimsbüttel,870,,47,2,3.18557969
Hamburg,Neustadt,554,87,47.04,2.5,4.29490486
Hamburg,Eimsbüttel,800,,50,2,0.720325787
Hamburg,Wilhelmsburg,712,,64,3,2.907663673
Hamburg,Neustadt,642.06,45,78.78,3,0.278904365
Hamburg,Eimsbüttel,650,,65,2,4.156361455
Hamburg,Veddel,1350,,125,5,0.844496881
Hamburg,Eidelstedt,1775,,109,3,0.346064159
Hamburg,Altona-Nord,540,70,39.05,2,1.004085826
Hamburg,Eimsbüttel,1795,121,95,3,4.337673999
Hamburg,Lokstedt,500,,45,2,0.889074297
Hamburg,Othmarschen,735,5,25.51,1,2.958612808
Hamburg / Bahrenfeld,Bahrenfeld,1310,66,76.03,2,1.05279423
Hamburg,Othmarschen,1928.63,103,104.25,3,3.848456142
Hamburg,Neustadt,2355,0,109.06,2.5,5.225321137
Hamburg,Neustadt,2395,0,85.92,3,2.66969892
Hamburg,Neustadt,1460,0,54.23,2,3.234951248
Hamburg,Neustadt,2090,0,72.56,2,5.083500456
Hamburg,Neustadt,1950,0,68.85,2,3.682447967
Hamburg,Hamburg-Altstadt,3980,9,174.78,3,5.789143749
Hamburg,Neustadt,5200,3,244,6,4.059089584
Hamburg,Rotherbaum,1965,140,101,4,4.405804959
Hamburg,Rotherbaum,740,64,26,1,0.826045244
Hamburg,Stellingen,650,,57,3,0.26836232
Hamburg,Hamburg-Altstadt,3252.89,0,141.43,3,3.518488291
Hamburg,Othmarschen,1309,10,80.85,3,4.250351123
Hamburg,Eimsbüttel,1045,65,63.36,2.5,7.053819281
Hamburg,Eimsbüttel,872,2,29.39,1,0.652498785
Hamburg,Stellingen,571,,50,3,0.317566937
Hamburg,Eimsbüttel,2375,95,125.1,4,0.809025495
Hamburg,Rotherbaum,1182,,60,2,5.326643462
Hamburg,Bahrenfeld,635,,73,3,4.294597449
Hamburg,Groß Borstel,816,,52,2,0.611129854
Hamburg,HafenCity,3500,13,95.26,2,3.644876262
Hamburg,HafenCity,2190,13,80,2,0.413060825
Hamburg,Hamburg-Altstadt,1600,,106,3,1.440716882
"Hamburg, HafenCity",HafenCity,2080.1,0,67.58,2,3.025918195
"Hamburg, HafenCity",HafenCity,1869.76,0,58.43,2,7.281614417
Hamburg,Kleiner Grasbrook,1300,,80,2.5,0.760666342
Hamburg,Eimsbüttel,650,,67,3,3.511922161
Hamburg,HafenCity,3890,,94,2,4.909279928
Hamburg,HafenCity,1900,0,57,2,4.08725183
Hamburg,Othmarschen,2500,58,142,3,4.528942705
Hamburg,Eimsbüttel,460,,42,2,4.85112879
Hamburg,HafenCity,2145,4,74.8,2.5,0.023262022
Hamburg,HafenCity,1750,4,58.7,2,0.023262022
Hamburg,HafenCity,1300,4,44.7,1,0.051945868
Hamburg,HafenCity,1275,4,43.3,1,0.051945868
Hamburg,HafenCity,2435,4,114.4,3,0.051945868
Hamburg,Altona,739,,61,2,12.86444437
Hamburg,HafenCity,2005,4,78.1,3,0.047890628
Hamburg,HafenCity,2040,4,75.6,3,0.047890628
Hamburg,HafenCity,2105,4,75.6,3,0.047890628
"Hamburg, Hafencity",HafenCity,1874.84,13,74.5,2,6.189249038
Hamburg,Othmarschen,2500,123,110,3,4.154283695
Hamburg,Othmarschen,8500,123,250,6,5.284873035
Hamburg,Othmarschen,2900,123,95,3,4.678561684
Hamburg,Eimsbüttel,1553,0,62.11,2,4.967469197
Hamburg,Winterhude,960,,65,2,0.514314431
Hamburg,HafenCity,4652,-1,116.29,4,0.18724002
Hamburg,HafenCity,7541,-1,181.69,5,0.18724002
Hamburg,Rotherbaum,892,,40,1,7.073142901
Hamburg,Rotherbaum,1585,,62,2,2.247724957
Hamburg,Rotherbaum,1995,,90,3,3.85291734
Hamburg,Eimsbüttel,1500,,74,3.5,2.137612404
Hamburg,Schnelsen,860,,66,2,1.714136203
Hamburg,Eimsbüttel,2100,2,70,3,3.249658482
Hamburg,Harvestehude,609.5,68,75.34,3,0.255587885
Hamburg,HafenCity,3100,8,130.36,3,0.317074319
Hamburg,Eimsbüttel,563,123,35,1,0.894477853
Hamburg,Kleiner Grasbrook,919,,53,2.5,0.395894189
Hamburg,Steinwerder,1992,,105,5,0.823836878
Hamburg,Rotherbaum,3927.3,11,159,3,3.951843899
Hamburg,Eimsbüttel,500,,56,2,4.661129279
Hamburg,Fuhlsbüttel,650,,49,2,2.27876395
Hamburg,Rotherbaum,3525,134,205.89,6.5,0.0702325
Hamburg,Eimsbüttel,1445,,52,2,3.836101963
Hamburg,Groß Flottbek,2690,99,169,6.5,1.014173325
Hamburg,Stellingen,1300,,50,2,1.509801267
Hamburg,Othmarschen,4300,121,216,5,4.399599305
Hamburg,HafenCity,3598,-1,89.95,3,0.408663144
Hamburg,Eimsbüttel,1400,,84,3,6.23427583
Hamburg,Wilhelmsburg,684,,61,2.5,3.256875844
Hamburg,Harvestehude,1700,127,71,2,4.692062923
Hamburg,Bahrenfeld,750,25,100,2.5,0.48453361
Hamburg,Eimsbüttel,1644.92,8,76,3,1.60958915
Hamburg,HafenCity,2508,-1,65.14,2,0.492084372
Hamburg,HafenCity,1408,-1,45.39,1,0.492084372
Hamburg,HafenCity,5938,-1,136.5,3,0.492084372
Hamburg,Hoheluft-West,2500,,95,4,0.455153475
Hamburg,Hoheluft-West,1295,0,63.2,1.5,0.252163322
Hamburg,Harvestehude,444,,25,1,3.33520901
Hamburg,Harvestehude,2950,42,124,2.5,7.355001776
Hamburg,Harvestehude,4670,133,215,8,4.745029679
Hamburg,Stellingen,2248,-1,125,5,1.573806443
Hamburg,Wilhelmsburg,659,,55,2,3.041199246
Hamburg,Steinwerder,760,,50,2,1.611174735
Hamburg,Hoheluft-West,700,,50,2,5.118765033
Hamburg,Hoheluft-West,950,,73,3,4.541378543
Hamburg,Stellingen,1954.16,30,106.8,4,1.513065594
Hamburg,Wilhelmsburg,608,,55.54,2,2.998859162
Hamburg,Wilhelmsburg,923,,63,3,2.983528086
Hamburg,Lokstedt,1700,,92,3.5,9.025536897
Hamburg,Rotherbaum,1490,,58.1,2,7.667494897
Hamburg,Wilhelmsburg,440,73,41,2,2.841246751
Hamburg,Harvestehude,3156,112,166,5.5,3.022516084
Hamburg,Hoheluft-West,800,120,64.19,3,0.363522205
Hamburg,Hoheluft-West,1100,,95,4,2.912175811
Hamburg,Othmarschen,3500,15,171,5,4.826027579
Hamburg,HafenCity,3150,0,120.8,4,6.500302405
Hamburg,Bahrenfeld,1200,,55,2,1.087738251
Hamburg,Hammerbrook,1127,118,90.4,3,0.9105959
Hamburg,St. Georg,4000,,160,3.5,4.187258921
Hamburg,St. Georg,1742,,104,,0.939897807
Hamburg,Hoheluft-Ost,1200,,67,2.5,6.875266466
Hamburg - St. Georg,St. Georg,2400,123,123.25,4,2.920712135
Hamburg,Hoheluft-Ost,815,,60,2,4.936461872
Hamburg,Hoheluft-Ost,695,62,26,1,0.118317006
Hamburg,Hoheluft-Ost,1350,62,63,2,0.118317006
Hamburg,Lokstedt,695,,90,1,8.088323518
Hamburg,Schnelsen,555,,40,2,0.941126572
Hamburg,Lokstedt,1070,,60,2,0.07535748
Hamburg,Wilhelmsburg,900,,56,2,3.094924272
Hamburg / Harvestehude,Harvestehude,1100,124,35,6,4.849590629
Hamburg,Stellingen,1200,0,57,2,3.906416876
Hamburg - Harvestehude,Harvestehude,3430,120,196.65,7,5.247928211
Hamburg - Harvestehude,Harvestehude,3430,120,196.65,7,4.052523914
Hamburg,Lokstedt,1600,43,75,3,7.01516839
Hamburg - Harvestehude,Harvestehude,2864,120,137.82,5,4.670814486
Hamburg - Harvestehude,Harvestehude,2864,120,137.82,5,7.286823398
Hamburg,Hoheluft-Ost,1800,,93,3,0.290827423
Hamburg,Harvestehude,2350,120,156.74,4,6.915755426
Hamburg,Harvestehude,2350,120,156.74,4,6.778145477
Hamburg,Harvestehude,2000,117,63,3,4.396429209
Hamburg,Stellingen,1445,1,80.86,3,1.004564673
Hamburg / Sankt Georg,St. Georg,2300,6,111,2,
Hamburg,Eppendorf,1975,95,133.25,4.5,0.685375667
Hamburg,Stellingen,440,7,18,1,0.633676563
Hamburg,Finkenwerder,1250,58,91,2,1.744206519
Hamburg,Stellingen,1847,-1,96,3,0.566208363
Hamburg,Stellingen,1710,-1,95,3,0.566208363
Hamburg,Uhlenhorst,5069.4,10,159.28,4.5,0.184197126
Hamburg,Lokstedt,850,22,56,2,1.144352578
Hamburg,Hammerbrook,1195,1,51.68,2,0.431310326
Hamburg,Wilhelmsburg,654,,59.59,2,2.523772203
Hamburg,Wilhelmsburg,610,,50,2,2.506372229
Hamburg,Othmarschen,2510,5,132.22,3,1.47589815
Hamburg,Altona-Nord,885,,73,2.5,0.572048775
Hamburg - Winterhude,Winterhude,3180,123,129,3,4.183617716
Hamburg - Winterhude,Winterhude,3180,123,129,3,6.583370421
Hamburg,Uhlenhorst,3500,69,140.36,3,0.429599756
Hamburg,Uhlenhorst,640,68,22,1,0.114766552
Hamburg,Stellingen,1940,54,89,3,5.162023166
Hamburg,Stellingen,780,,66,2.5,5.664233573
Hamburg,Winterhude,4000,69,156,5,5.660436662
Hamburg,Uhlenhorst,1484.22,133,70,2,0.704499789
Hamburg / Lokstedt,Lokstedt,1800,40,93,3.5,6.141065614
Hamburg,Uhlenhorst,1440,42,72,2,7.283782491
Hamburg,Wilhelmsburg,1350,123,115.55,4.5,1.622346644
Hamburg,Hohenfelde,1190,,23,1,6.180099704
Hamburg,Stellingen,385,67,33.84,1,0.155008517
Hamburg,Veddel,420,,56,2,3.793131887
Hamburg,HafenCity,774,,62,2.5,0.986427024
Hamburg,Bahrenfeld,1650,-1,73.7,3,2.243958027
Hamburg,Bramfeld,1000,,59,2.5,2.868664494
Hamburg,Horn,1382,,93,4,1.242391305
Hamburg,Winterhude,3984,,200,6,4.452872761
Hamburg,Alsterdorf,900,,55,2,0.69730922
Hamburg,Barmbek-Nord,400,,24,1,0.378662148
