city,district,latitude,longitude,geohash,cold_price,currency,object_age,flat_area,room_count,distance_to_centre
Geesthacht,,53.452831,10.36537,u1x25fgc69uh,695,EUR,39,70,3,61.0518967
Stade,Stade,53.560067,9.417379,u1w8wq3d0b4s,495,EUR,18,53.22,2,5.848464771
Stade,Stade,53.616505,9.521649,u1wc08t6y8bn,790,EUR,,71,3,3.570309167
Stade,Stade,53.637233,9.438424,u1w9nu2ge0zj,565,EUR,53,76.86,3,4.826050025
Stade,Stade,53.55219,9.517847,u1wb8sfsjgv0,615,EUR,53,76.86,3,5.988239943
Stade,Stade,53.64715,9.443782,u1w9nyhv21d4,595,EUR,22,55,2,5.664489141
Harsefeld,Harsefeld,53.397134,9.445595,u1qxybwhf74p,1100,EUR,4,102.32,3,6.872029741
Hanstedt,Hanstedt,53.288841,10.053361,u1rphubturcq,770,EUR,33,71.48,3,119.8530307
Stade,Stade,53.637193,9.445295,u1w9numg736r,475,EUR,52,49,1,4.609381771
Kaltenkirchen,Neuer Weg 2 a,53.835426,9.966963,u1x46b3wp4f3,765,EUR,50,85,3,0.008378422
Stade,Stade,53.607418,9.447125,u1w8yyzjvgnb,650,EUR,26,71.79,3,2.051438012
Tostedt,Tostedt,53.276699,9.709832,u1qzhfwrr2x8,700,EUR,2,60.34,2,1.533968179
Stade,Wiepenkathen,53.582718,9.412675,u1w8y4qjgnx5,576.72,EUR,,67.85,3,0.575285978
Stade,Wiepenkathen,53.529899,9.393613,u1w8tbb4r03t,645,EUR,51,75.73,3.5,6.162042745
Horst,,53.786569,9.611545,u1wcfxwcmppm,652,EUR,113,87,3,25.88792104
Drochtersen,Drochtersen,53.683782,9.387368,u1w9msgdtw2c,895,EUR,0,83.63,4,7.793472743
Bad Bramstedt,Landweg 38,53.921753,9.887296,u1x4bbpsyxq3,310,EUR,52,32.58,1,0.037985531
Himmelpforten,Himmelpforten,53.669969,9.365911,u1w9m4k41x37,630,EUR,49,88,3,6.326042942
Drochtersen,Dornbusch,53.775957,9.367552,u1w9vjt5xucn,625,EUR,63,77.78,3,4.864466982
Lüneburg,Lüne-Moorfeld,53.309633,10.421104,u1rrm0srj7f7,600,EUR,59,60.03,3,4.623838265
Schneverdingen,Schneverdingen,53.090047,9.755964,u1qyn08pfqn4,420,EUR,,56,2,3.702984526
Itzehoe,Kremper Weg 55,53.906227,9.501127,u1wf8jqd831c,315,EUR,123,33,1.5,0.005273136
Mölln,Schneiderschere,53.605511,10.691572,u1x8gq96extb,928,EUR,84,102,4,0.096153957
